【第一段】

191(00:00:41): 这里现在好了。继续说。感觉这些都有点废话。现在。
虎鲨(00:08:42): 我还有一个感觉就是不知道感觉他举的那些病人生病之后，然后他就开始根据结合本章讲的那个知识点来分析这个病人为啥生病。

191(00:09:11): 这就比较多，注重怎么吃能好一些，做个参考，肯定治病，他不可能就光吃就完了。

*(00:09:23): 对只是补充。

虎鲨(00:09:37): 知道我想起来他前边很前面不用翻过去很前面他说就是治疗慢病是近代什么那种。现代生活城市生活逐渐形成的导致的满面，然后慢病的治疗方法是从那些外伤什么。啥的那些迁移过来的方法是属于对抗疗法。然后我就觉得说的好好有道理，就是突然明白了。很安全的一种感觉，对抗疗法。生病了就吃药，然后长长肿瘤就割掉。就是这块就这。

191(00:10:35): 这是吗？要解决根本原因根本问题。

191(00:11:13): 这老是练这些烟酒什么的，这很没必要。

*(00:11:24): 是有人喝酒来着？

*(00:11:38): 我之前搜他那个，如果你希望酒能够对你身体有好处的话，你一天可能只能喝一小两杯就非常小的才。

191(00:11:40): 后面还有。

Max(00:11:54): 我这边记得酒精摄入每天少于15克。

*(00:12:04): 料酒就行了。

Max(00:12:06): 料酒做菜的时候会蒸发吧？

*(00:12:11): 知道。

Max(00:12:11): 不算。

191(00:12:14): 酒精都在这！快速过一下有没有题主看一鸡蛋是个好东西。是维生素D，刚才也说到了。

191(00:12:59): 每天这三种以上水果。

191(00:13:14): 你还活着好？好好吃饭。

Max(00:13:30): 我有一个问题，红酒和普通的酒它有什么区别吗？

*(00:13:41): 你说的普通的酒是什么酒？

Max(00:13:45): 比如红酒它我不是很懂，就是红酒，它也是葡萄酒葡萄酿的，然后啤酒就是小麦酿的，他们都是一种。做无量的，他们为什么地中海饮食里面就喝红酒。

191(00:14:20): 只不过是植物发酵是水？

Max(00:14:28): 为了卖红韭菜营销红酒有益健康！这样的吗。

*(00:14:32): 很一搜之类，要是说红酒中它有这么多分化合物，可以改善心脏健康。

Max(00:15:02): 对我也觉得他们都是同，就是同样是。

191(00:15:03): 15克是多少？

*(00:15:03): 啤酒也有多芬。

Max(00:15:13): 凉是凉的。还有个伏特加是土豆酿的。

191(00:15:17): 土豆酿土豆还能酿酒？

Max(00:15:20): 土豆酿伏特加就是纯酒精。那它这个纯酒精和啤酒那不是差不多吗？

191(00:15:30): 那就喝15颗？

Max(00:15:32): 15克我来看一下。

*(00:15:36): 你刚才说的都是个骗局。我看一下他为什么说有好处？它能清除自由基，减少氧化应激。从而保护细胞免受损伤。

*(00:16:11): 然后什么抗炎，那其他的方式肯定比他要好，也就他的这些好处就非常的小。

*(00:16:22): 坏处非常的大。

191(00:16:25): 为了赚钱所以营销。

Max(00:16:33): 15克刚刚量了一下，它就是差不多一个一次性纸杯，你把你的食指横过来就差不多那么点。

191(00:16:44): 杯底吗是。

Max(00:16:46): 就那一点就是你的手就是横着不是竖着就是横着的那一。一次性纸杯的底？

*(00:16:57): 就等于不能吃。你别喝就完了。

势起(00:16:57): 那就是喝一口就是一口。

191(00:17:04): 对又不好喝。

191(00:17:36): 可溶性膳食纤维。一定要吃早餐，也是营销出来的。

Max(00:17:47): 好像一本书。

*(00:17:49): 不吃早餐也不行吧？

191(00:17:52): 反正就饿了就吃饭，渴了就喝，好像说不能渴了再喝水，就已经缺水了。这本书里还说。

*(00:17:56): 对就根据自己需求来。

Max(00:18:05): 我最近看到另一本就是新的书叫什么空腹力，这个东西它就是主要讲的就是保持饥饿感，才是打开生命力的开关。

191(00:18:23): 透支生命力。

Max(00:18:28): 我感觉他有的好多都是我没有看，然后我就看了一些书评，我感觉他好多东西都是瞎扯的。它里面也提到说不要吃早饭。

*(00:18:41): 不要吃早饭。

Max(00:18:41): 他说没有必要吃早饭。

191(00:18:44): 中午起床不用吃早饭。

Max(00:18:46): 不吃早餐锻炼。

191(00:18:56): 肠道黏膜。肠道黏膜很智能。地中海饮食，五谷杂粮全麦，玉米，土豆，豆类，薯类根茎类。蔬菜。西红柿洋葱，柿子椒，西红柿可以生吃，洋葱有点牵强。水果。柠檬，葡萄蓝莓。

191(00:19:40): 葡萄完美好！蛋白质的沙丁鱼。这个字母那啥来着？

191(00:20:03): 我们是。

势起(00:20:04): 不是omega。

191(00:20:05): 我贝卡是反过来的衣物。

势起(00:20:08): 我们叫它W。

191(00:20:18): 不重要，一会儿查一下。

势起(00:20:23): 早上醒了，吃点带油的鸡蛋羹，我感觉鸡蛋羹比较符合。

191(00:20:30): 滴几滴油就行了，吃个包子也行。包子饼啥的是不是也行有肉有菜，有碳水的。

势起(00:20:40): 这是omega吗？

*(00:20:47): 是不是打是写在这里，所以有点奇怪？

势起(00:20:53): 不知道，反正我对我一直我以为有左边？

191(00:20:54): 大写和小写的区别原来如此。

势起(00:21:02): 还有大写小写？

191(00:21:04): 长知识。

*(00:21:06): 才知道。

191(00:21:16): 这里提到橄榄油，它的单不饱和脂肪酸和多不饱和脂肪酸好像比较多，所以说它比较健康。

Max(00:21:29): 可以以后买一瓶橄榄油来煎一点东西。

191(00:21:48): 对饱和脂肪酸，动物油椰子油和棕榈油单不饱和脂肪酸，耙子油橄榄油都不饱和脂肪酸，玉米油，花生油，大豆油和海洋鱼类。我们是，反正我们之前是吃花生油和大豆油比较多。因为东北产的多。地中海是种油橄榄多，所以他们吃橄榄油。

*(00:22:19): 你们不吃猪油吗？

势起(00:22:21): 以前小的时候没有传出来传言的手势。

Max(00:22:31): 如果有一般菜里面不放吧，一般在那种。

*(00:22:37): 种菜的时候会放。

191(00:22:48): 看哪个多一些？这是有三，这有四，这个有三。

191(00:23:15): 再一个是多不饱和脂肪酸多。猪油牛油。椰子。棕榈油。多买几种油。但是我也不知道食堂他们做饭用什么油。

势起(00:23:30): 一般应该都是大豆油或者是菜籽油或者什么的，反正都是常见的油食堂是不可能用橄榄油的，我感觉。

Max(00:23:42): 橄榄油越高级就能越高温。

191(00:23:51): 颜色深得出彩，绿色大于紫色，大于黄色，大于红色，大于白色。红色那就是番茄吗？红色，黄色。红色的蔬菜有什么？

势起(00:24:04): 忙死。

191(00:24:06): 白菜白色是白的吗？

势起(00:24:09): 娃娃菜。

Max(00:24:11): 酒黄。他这边他我记得他说那个白色的蔬菜，他说外面是绿色，里面是白色的蔬菜，它就不算是绿色蔬菜。

势起(00:24:27): 那就白萝卜，我最近吃吃了非常多。

Max(00:24:27): 他说茄子也是茄子是外面是紫色的，然后里面是白色的，它就说不算是深色蔬菜，它就算是白色蔬菜。

191(00:24:42): 正好我喜欢吃西兰花。

势起(00:24:44): 这样说的话，西葫芦是不是也是白色蔬菜，我一直觉得西葫芦非常健康，非常营养。

Max(00:24:47): 我也觉得他。我也觉得我觉得西湖路是世界上最好的。

191(00:24:55): 我讨厌吃葫芦。

Max(00:24:58): 西湖路。因为他。

*(00:24:59): 但是西葫芦还它没有那么白，还是有点绿色。

势起(00:25:00): 那里面我感觉有，反正我觉得有点浅的浅绿了吧，浅绿的有点狠了。

Max(00:25:05): 西葫芦东西它可以放在那边。

*(00:25:11): 反正蔬菜就是叶子菜。对最好吗。

势起(00:25:11): 对。菜好像不太烂，我感觉小白菜好像特别能放。

*(00:25:29): 油菜也可以放的蛮久的，那你之前保质期也长的一样，价格可能就没有那么高。

191(00:25:37): 买了就赶紧做了吃。这是什么。

势起(00:25:47): 每天。

191(00:25:48): 可以冷藏的。

势起(00:26:00): 我感觉豆角这种东西要它需要煮熟，确保它没有毒的话，那是不是它煮的时间长了，那相当于它就没有什么营养。

191(00:26:11): 那你也不能生吃？

势起(00:26:13): 就感觉少吃吧，少吃这道吃完不吃了？

191(00:26:26): 但各种蔬菜都要吃，不要偏食。我现在已经逼自己吃绿叶菜了。这本书还是有用的。

Max(00:26:46): 生吃蔬菜有一定的卫生风险。我也。

Max(00:27:06): 上次就看到那个新闻说烤肉店里面的生菜没有洗干净，然后就什么，是不是农药之类的。

势起(00:27:13): 还有因为它沾了生肉，它跟生肉接接触到一块儿了。有的时候还是边吃合成肉，边吃生菜？水果可以在餐前？

191(00:27:35): 狮子不宜在餐前吃，是因为跟狮子能反应的东西太多了。对我就喜欢一边吃西瓜，一边吃饭。

势起(00:27:51): 我最近吃水果，昨天好像都是维C，全都是维C。没有别的营养。

191(00:28:14): 80%以上肿瘤的发生地是这样的。

191(00:28:33): 冠心病跟上皮细胞挺有关系的，我怎么感觉一点印象都没有。

191(00:29:00): 这里有影响，咋做事儿。

Max(00:29:18): 那这样我感觉他就算不吃鱼的话，吃点什么海带紫菜也行。

191(00:29:30): 卵磷就在这里。

Max(00:29:32): 虽然说他肯定代替不了鱼。

势起(00:29:38): 灵芝怎么补，刚不说灵芝可以长个吗？

Max(00:29:43): 鸡蛋。

势起(00:29:44): 鸡蛋。

191(00:30:00): 这些是细胞？

191(00:30:28): 动物大脑中的脂质。磷脂，胆固醇，糖汁要吃。是动物大脑？鸡蛋和内脏。跟卵磷脂好像是挺像的。

Max(00:30:52): 卵磷脂也是磷脂中的11种吧？

191(00:30:57): 一旦肝脏，脑脊髓，骨髓，肾脏，心脏，植物中的芝麻葵花籽，大豆。就是不能挑食，啥都得吃，因为记不住到底要补什么吃什么。所以就啥都吃。

Max(00:31:16): 芝麻。你可以买一袋放在你，如果烧菜的话，你每每次菜炒出来之后，你就往上面撒一把你就可以了。

191(00:31:28): 芝麻非常好！

势起(00:31:30): 还有那种黑芝麻球，我觉得黑芝麻球我看它的配料好像还是比较干净的。可以买点儿当零食。

*(00:31:39): 好难吃。

势起(00:31:41): 那不是挺好吃的，很香的，嚼好香。

191(00:31:45): 他们那种要生头发的会吃。

势起(00:31:53): 我一般吃个没完，挺好吃的。

191(00:32:18): 我好久没吃坚果了。

势起(00:32:30): 我把花生米吵了。可惜浪费了。

Max(00:32:36): 而且去超市的话得好好看一下配料表，因为现在腰果里面或者说其他什么杏仁，夏威夷果，尤其是那种夏威夷果和巴达木，它里面甜蜜素加的特别多。

191(00:32:52): 我就喜欢吃甜的。

Max(00:32:55): 你吃出来，坚果的话，它会有一股什么奶香味，那个东西其实全都是添加剂。

势起(00:33:02): 他好像现在已经没有什么很难找到天然的，我感觉他加的太多了。

Max(00:33:04): 对。

*(00:33:10): 他们不是配料有血吗？那加了没加了没加？

191(00:33:10): 还有那种琥珀合同人？

Max(00:33:19): 他现在有的配料表他都不帮你写。

势起(00:33:33): 不是说有些配套表还要还会骗人？

191(00:33:38): 广告正常。

势起(00:33:41): 这还能这还能写了吗。

191(00:33:48): 那你转一转？

*(00:33:48): 什么。

Max(00:33:49): 最近什么良品？

势起(00:33:52): 卡米现在不？这本书我一直都没有点开我卡我都不知道忘了。

191(00:34:05): 打开之后还好这是什么量表。打开我的手机相册对着找。

191(00:34:31): 打开的时候还挺卡的，打开之后现在感觉好一些。不怎么看。

势起(00:34:38): 之前用的时候也是打开就好，就是打打开这个过程有点难。

191(00:34:44): 第二本你们有什么重点吗？我都没看完。

势起(00:34:56): 我第一本还没看完。

191(00:34:58): 我一看到高血压里面全都是吊子的例子，我感觉我好像不太有这个风险，就没继续看下去。

*(00:35:09): 主要就是研盐吃多了别的什么吃多了。

191(00:35:14): 我姥姥也高血压。他就是延迟的很多。

*(00:35:22): 那我也跟生活习惯。

势起(00:35:24): 老人一般嘴淡吃的盐就比较多。

Max(00:35:33): 第二本我看了一下痛经痛风。

势起(00:35:38): 痛风不是说你跟我们没啥关系吗？

Max(00:35:39): 因为我看了一下，他说他特别容易吃各种的什么粥和汤面，然后我这类这两样东西我吃的特别多。然后我就注意了一下。

势起(00:35:55): 平常那种就是粮食熬成的粥，没事，我觉得说的是特指的那种海鲜粥之类的，我感觉？

Max(00:36:01): 肉粥他说也有什么嘌呤？

*(00:36:06): 焦汤都有。

势起(00:36:10): 交往之是念票。

191(00:36:10): 嘌呤之前学生物的时候需要查过。对都是四声。这是什么？

Max(00:36:40): 降压药。

势起(00:36:49): 国产的降压药不太靠谱，外国的有点太贵了。

191(00:36:54): 对。控制体重戒烟限酒，适当运动，心理调节，营养均衡。每天晚上11点以前必须睡觉。

*(00:37:12): 针对睡觉晚的人。

191(00:37:12): 运动量每天6000步。但是我们不是患者。才6000步要求还挺高的，走一下午的时候才走8000步。

Max(00:37:38): 你咋的了。我来查一下橄榄油到底贵不贵？

*(00:37:47): 也有也有便宜。

势起(00:37:52): 反正以前那几年我记得看的都挺贵的。

Max(00:37:57): 好像。

*(00:37:59): 我上次我之前买过一瓶没有用，没有用它好像。

Max(00:38:03): 还感觉200毫升。一瓶38块三。

势起(00:38:12): 200毫升那很小一瓶吧！

Max(00:38:15): 如果你不喝的话，可以用很久。就是每次烧菜的时候少放一点。

*(00:38:15): 对。

191(00:38:24): 我记得上之前去超市看过那一大桶花生油大豆油才五六十块钱。

势起(00:38:26): 他其实对比。

Max(00:38:31): 确实，一对比就感觉好贵。

势起(00:38:41): 炒菜的话200毫升。感觉吵不了几回。

*(00:38:50): 你就只能它不是不能高温吗？你你就搞那些凉拌菜的时候放一点一点。

势起(00:38:57): 凉拌菜叫香油的话，我感觉。

191(00:39:03): 对香油是什么油？隐形眼我今天刚听到这里。隐形也是。

势起(00:39:17): 什么隐形。

*(00:39:18): 饼干面包，馒头。面条。

191(00:39:31): 咸味主食有咸味，很辣不咸的很辣，是这一种隐形眼，馒头，饼干面包，糖果干，巧克力。

势起(00:39:43): 好厉害。

191(00:39:47): 很冷。苏打饼干汽水果，黑金茶。

势起(00:39:52): 麦片指的是那种天然的就那种什么什么，没有一点味道那种麦片吗？

*(00:39:59): 方便食品。

191(00:40:20): 谷氨酸钠是味精？反正少吃点盐就行吧。

势起(00:40:37): 对他们之前不可以用天然的辣椒代替盐，有辣味儿的，其实也不用太放得上什么盐。

191(00:40:47): 爆炒报酬有利于保留营养素。

Max(00:41:01): 胡萝卜素我好像看到里在南瓜里面也有不吃胡萝卜可以吃南瓜。

191(00:41:08): 我连南瓜也不喜欢吃。

势起(00:41:11): 好。

*(00:41:13): 你到时候搜一下，肯定还有别的食物。

*(00:41:18): 反式脂肪酸不要吃。

势起(00:41:19): 你喜欢吃。

Max(00:41:27): 南瓜也挺好的，南瓜它又有胡萝卜素，它又可以当主食吃。

势起(00:41:32): 对你要是喜欢吃板栗的话，不是说贝贝南瓜里边板栗有味。虽然其实也没有太大的板栗味。

191(00:41:40): 韭菜也不好吃。荠菜包子或者饺子可以油菜也有。

*(00:41:51): 西红柿。

191(00:41:51): 橘子芒果可以。

*(00:41:56): 你不是爱吃西兰花吗？西兰花也吃。

191(00:41:56): 对。

势起(00:41:58): 考虑。

191(00:42:01): 哈密瓜也行，我喜欢吃水果。

*(00:42:21): 反式脂肪酸还会影响大脑够。

191(00:42:37): 少吃甜点。香蕉，莲子，苹果，柑橘，橙子，大豆，南瓜，香菇。

Max(00:43:00): 豆类其实也挺好的，豆类的话，我还没有想好在哪个菜里面能烧到它一般这个的话。

势起(00:43:06): 红豆生奋斗！

*(00:43:11): 什么豆类，但是他上一本书，不是说你不能单独吃豆类，就必须得跟另外一种食物一起吃。

Max(00:43:21): 是的，我感觉豆类这种的一般都是出现在那种杂粮粥八宝粥里面比较多一点。

191(00:43:33): 我们食堂有那种用豌豆还是毛豆的分不太清，反正不是豌豆，它就是毛豆。鸡蛋炒毛豆菜。

势起(00:43:47): 鸡蛋炒毛豆是什么菜？

191(00:43:48): 我也是第一次吃。

势起(00:44:01): 说起来蛋白质我不是最近因为早上老吃那个面包藜麦，他们说藜麦里边含的蛋白质特别多。

191(00:44:21): 每天要摄入这么多的酶。但是不会每天吃海带紫菜。

Max(00:44:26): 那坚持每天喝牛奶吧，感觉牛奶好有用。

191(00:44:34): 一会儿整一下。

势起(00:44:40): 美团优先。

*(00:44:41): 多晒太阳。主要是之前国产很多的牛奶啥，你们有拉肚子的话就要看一下它的标准。

势起(00:45:01): 乳糖不带瘦？

191(00:45:04): 对之前好像发过。

势起(00:45:12): 那我的肠胃不太敏感，我不太过于不太敏感。就没有喝出问题。

*(00:45:17): 那也是。

191(00:45:23): 那一次之前发过他在。国外买的牛奶跟国内的味儿不一样，说那边的都比国内的要感觉要新鲜，然后国内的奶的味道就像国外的那种。变质之后的味道。

*(00:45:47): 因为大部分的牛奶就是反正上次查了一下他那个菌落数比国外的多了几十倍。

Max(00:45:58): 如果在国内实在买不到那种牛奶，那我买国外的那种奶粉可以吗？

*(00:46:06): 在国外的牛奶其实也可以买，你也要去筛选一下可以选新西兰跟哪里的来着忘？

Max(00:46:14): 不一定每天。

势起(00:46:20): 不知道我感觉我国内的牛奶没有断过。

191(00:46:35): 你们喝牛奶都是单就硬喝就生喝。不就是什么东西？

势起(00:46:41): 打早上的时候配个面包当早餐。大家一般情况下我觉得牛奶就跟水一样，这就当水喝了。

Max(00:46:48): 是我感觉如果泡你泡奶粉的话，可以把这个东西调的浓一点，他现在那个奶粉牛奶太淡了，我感觉我喝不下去。

191(00:47:05): 什么乳业联盟，那俩大牌儿还都如女？

*(00:47:11): 就当地有的那种奶，反而比那些牌子要好一些，那像新疆或者那天津本地也有奶。

势起(00:47:27): 我之前在美团优选上买的那个牛奶叫什么名我忘了，反正也是国产的，然后好像北大荒还是什么不知道，然后现在这个牛奶也是优选的，叫什么卫港又发现了一个牛奶。感觉讨厌也。

191(00:47:39): 卫岗我们这也有。

Max(00:47:42): 我们这也有。

势起(00:47:56): 是你们那儿产的？

Max(00:48:01): 我们还有一个叫红梅。

势起(00:48:07): 红梅没听说过。

*(00:48:08): 惠州叫山花？

191(00:48:22): 花椰菜。花蕾菜是什么菜？

势起(00:48:28): 花菜是不就是花菜吗？

191(00:48:32): 就白色西兰花。

Max(00:48:48): 山药。

势起(00:48:49): 我之前喝爬山我觉得那也可香。反正都比蒙牛，伊利行的。

Max(00:49:00): 山药也是个好东西，山药它又能当主食，然后它蒸起来的速度还非常快。

191(00:49:10): 它含钾量还高。

Max(00:49:14): 放在冰箱里面还可以冻。

191(00:49:39): 高美食物全都是紫。

191(00:50:03): 那以后就直接喝全脂牛奶？

Max(00:50:07): 是牛奶最好不要买脱脂的，我好像记得有之前好像看过，因为脱脂和脱脂牛奶和全脂牛奶它那个纸。

191(00:50:20): 不到十分钟。

Max(00:50:21): 没有相差。

*(00:50:24): 感觉国内的没啥必要，脱脂牛奶，因为。

势起(00:50:28): 还有脱脂的要比它贵。这就是鲁人讲减肥的一个。

191(00:50:36): 自我欺骗。

势起(00:50:39): 没事儿找事儿撸子。

*(00:50:46): 20分钟。

191(00:50:57): 这边后边还有啥吗？苦瓜怎么换换换别的吃玉米好，那个口感好高。

势起(00:51:02): 不爱让。

191(00:51:07): 这是把前三名标出来了？

Max(00:51:20): 高膳食纤维我原来一直以为是那种就是这种纤维是那种促消化高山市行为搜一下。

势起(00:51:30): 它确实会觉得会促消化吧，毕竟它不是锻炼了肠胃。

191(00:51:44): 杨杜军。这里有杨杜军他还挺高的。青豆也很高。

*(00:51:59): 苦瓜他能说笑话？

191(00:52:11): 这些都是在防高血压的范围？

191(00:52:39): 他这些多少克的又量不了。脑力劳动者减少碳水化合物的摄入，增加蛋白质和之类的获取。

191(00:53:15): 这什么机型体型的？又也没有确诊不知道。饮酒能够导致高血压？

191(00:53:37): 依然是。陈颖欣。吃鸡蛋对高血压有好处。蛋黄里的卵磷脂是高密度脂蛋白合成这种材料。谢谢中的不是吃进去是半脑合成的。

191(00:54:39): 看看这些问题。

191(00:55:05): 引起高血压的因素。

191(00:55:25): 那么无趣。

191(00:55:56): 画的都是知识点。

191(00:57:07): 后面还有重点吗？

191(00:57:30): 运动还会使自由基增加。这里说多酚类是抗氧化物质。植物胡萝卜素，维生素C维E，维生素E，金枪鱼，卷心菜巴西果是什么没吃过心？亚青素多酚，番茄红素黑巧克力也行。我喜欢。

191(00:59:28): 还有想说的吗？没有的话咱们就不再开一个。下面这是胰岛素的糖尿病。这是肾病。

191(01:00:06): 标记一下重点。到时候直接。对应来找关节炎。
